temperatura_real,temperatura_predicha
15.0,14.948995058228919
14.0,14.03259757719745
17.0,17.012760378292537
17.0,16.968389359122334
19.0,18.992502066841737
20.0,20.002310003596882
21.0,21.024615408355285
21.0,21.002708961304794
21.0,20.96755081520454
22.0,22.053242423602672
21.0,21.032648404812786
20.0,20.00212540462884
20.0,19.999446757430363
18.0,18.00112129635013
18.0,17.998871444071675
18.0,18.002532921303878
17.0,16.992967942138474
17.0,17.013308866954613
16.0,16.006793564638237
16.0,16.002081217957464
15.0,15.003971358791409
15.0,15.006373600577225
14.0,13.989182441522884
13.0,13.00593861181002
13.0,13.010382904977837
13.0,13.017349972948605
14.0,14.045656018205724
15.0,14.947366648500665
17.0,17.032694651715833
18.0,18.05545130563951
20.0,20.066813300816886
21.0,21.02372299760654
21.0,21.002634790847974
21.0,20.968819186232178
20.0,19.996027862847097
18.0,18.00123708411658
18.0,18.0004015145489
16.0,15.994986787683594
15.0,15.002814879109868
16.0,15.973177215978655
16.0,15.983878512192447
15.0,15.004333743265484
15.0,15.005664183356515
15.0,15.003541837374494
14.0,13.987802579507553
14.0,14.004272553845464
14.0,14.001051635751898
13.0,13.003328167429329
14.0,14.021848421166696
14.0,14.00620085513855
15.0,14.947404332131427
16.0,16.012559463793895
17.0,16.99197812037036
18.0,18.05375759272032
20.0,20.067488652927562
20.0,19.960985729076434
20.0,20.045366106560152
21.0,21.022843707217618
21.0,21.00264899168234
20.0,20.001889209284748
18.0,18.002119081237687
17.0,16.992356039303893
16.0,16.000356289877224
15.0,15.00453253723717
14.0,13.990084029241565
14.0,14.004434603584984
13.0,13.003459042485542
12.0,12.009939611643624
11.0,10.960613952248483
10.0,10.004332669957938
10.0,10.006978044943075
10.0,10.005774054260222
10.0,10.01046074631254
11.0,11.000774552174583
12.0,12.037892125571968
13.0,12.993910771681241
15.0,15.022891816712486
17.0,17.032706200653244
19.0,18.992872471966212
21.0,21.0636107086208
21.0,20.994350766944017
21.0,20.968542271999198
21.0,20.967506019828246
19.0,18.9601756190144
19.0,18.975452852841766
16.0,15.923403371080521
15.0,15.004487741860874
15.0,15.006388090435916
15.0,15.004716650606253
14.0,13.989447199841395
14.0,14.005288839879292
14.0,14.001876896437025
13.0,13.00412550997051
13.0,13.010398079223998
13.0,13.017750393822146
13.0,13.017999977894496
12.0,12.015884582434587
13.0,12.97461902762909
13.0,12.934310191673665
15.0,15.022749333273303
15.0,14.91751789170701
16.0,16.009809270587972
16.0,15.98182016315134
15.0,14.994867939890286
15.0,15.008207365189167
15.0,15.006540526885042
15.0,15.00663022711543
15.0,15.004820523269007
15.0,15.0044110583733
14.0,13.988780732356426
14.0,14.004842385105457
14.0,14.000954999526922
13.0,13.00412550997051
13.0,13.010398079223998
13.0,13.017750393822146
11.6,11.299008578489296
12.0,12.063636853524345
12.0,12.03968664217468
12.0,12.015606828510927
11.0,10.96353701013368
11.0,11.020374085607278
11.0,10.9955830665631
13.0,12.950715985190664
15.0,15.022843361217772
16.0,16.01235704554193
17.0,16.991933324994065
19.0,18.99203357904698
20.0,20.00060099541629
19.0,19.018336851266778
19.0,18.976363429901806
15.0,14.966936758592269
14.0,13.995699833990173
14.0,14.00528815549182
13.0,12.99937764717502
13.0,13.009671642116572
13.0,13.01763690642123
13.0,13.015846398770842
12.0,12.01543936618475
12.0,12.01279703047388
11.0,10.95878990168608
11.0,11.017159737141311
10.0,10.004461655551085
10.0,10.007017661723253
8.0,8.015582779012265
8.0,7.947237915360847
8.0,7.978313610072442
9.0,8.971596087507441
9.0,9.06587390789845
14.0,13.964807717539763
19.0,19.010673850626336
21.0,21.062051277210013
22.0,22.05297074449055
21.0,21.009678775374535
21.0,21.034763687717152
21.0,20.965709313575566
20.0,19.9967734524704
20.0,19.996467759886702
18.0,17.9886413716409
17.0,16.99141242650726
17.0,17.01444281239194
16.0,16.007578449193854
16.0,16.00316721567924
15.0,15.004099333439296
13.0,13.021661777758032
13.0,13.010653440915926
12.6,12.677831450619403
12.0,11.862100531447263
11.0,10.945796481441816
11.0,11.01477937270591
12.0,12.042641529515484
13.0,12.99514177998997
15.0,15.022843361217772
17.0,17.033062625344204
19.0,18.99284093857103
20.0,20.002381054929604
22.0,22.059386814931663
22.0,22.00464713294311
22.0,21.984350670344604
22.0,21.985186276342834
21.0,21.019799503158392
17.0,17.02590969425019
16.0,16.00352482346765
15.0,15.004487741860874
14.0,13.989763142304017
14.0,14.005348125114278
13.0,13.00412550997051
13.0,13.010398079223998
14.0,14.045671192451886
14.0,14.005949351449221
12.0,11.95558134978042
12.0,12.004421211589248
13.0,12.99489219591762
13.0,12.933839766032952
14.0,14.045671192451886
15.0,14.94732185312437
15.0,14.94806570364875
15.0,15.004295275054133
16.0,16.012203039102936
17.0,16.99345905616575
17.0,16.99881733208444
19.0,18.994373992027924
19.0,19.040383745352482
18.0,18.009420620616496
17.0,16.989039917189526
16.0,16.00000262519359
12.2,12.27611448893105
15.0,14.910009070204016
13.0,13.141909839493186
13.0,13.010903024988275
12.0,12.015884582434587
12.0,12.013713614687685
10.0,10.036801390004975
10.0,10.033990317455096
9.0,8.970181331268183
9.0,8.965667938518862
9.0,8.990069113384543
10.0,9.91479735491595
11.0,10.962225008091345
10.0,10.022345149235859
10.0,9.970977375889278
11.0,10.970191184721287
13.0,12.915444943107115
14.0,14.032732150399955
15.0,14.932082714241028
15.0,14.95264471334408
15.0,15.003084109677612
15.0,15.003404439762766
14.0,13.986710109666404
14.0,14.003500061676457
13.0,13.003171561581896
12.0,12.009879642021167
12.0,12.010945494858333
12.0,12.011825444904575
11.0,10.960153055975018
10.0,9.998086305573674
9.0,8.994316805038912
8.0,7.923696018022263
8.0,7.96848162165788
8.0,7.986140187782749
8.0,7.986442635865657
9.0,8.9722883846864
10.0,9.981847867570272
10.0,10.041859752750357
12.0,12.008850206462423
13.0,12.996047806976415
15.0,15.022891816712486
18.0,18.002535305937048
18.5,18.361821838824902
19.0,19.035181321664826
19.0,18.999469588312394
19.0,18.990689732248313
17.0,16.9774971409654
17.0,17.004895133151635
15.0,14.998636618793293
14.0,13.990674794685996
13.0,13.005953786056182
12.0,12.009939611643624
12.0,12.013713614687685
10.0,10.036801390004975
9.0,9.001313861866809
9.0,9.01633635487825
8.0,7.994174940427333
7.0,6.962392351437761
8.0,7.914165682651511
8.0,7.902172031699535
